Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g02650.1	ABI3	ABI3/VP1	571762	-	3058	n.a.	n.a.	n.a.
At1g02660.1	ABI3	ABI3/VP1	571762	+	3219	n.a.	n.a.	n.a.
At1g04180.1	ABI3	ABI3/VP1	1102785	-	-1837	n.a.	n.a.	n.a.
At1g04660.1	ABI3	ABI3/VP1	1301169	-	603	n.a.	n.a.	n.a.
At1g04670.1	ABI3	ABI3/VP1	1301169	+	-691	n.a.	n.a.	n.a.
At1g04810.1	ABI3	ABI3/VP1	1352726	-	2547	n.a.	n.a.	n.a.
At1g05135.1	ABI3	ABI3/VP1	1479296	+	-476	n.a.	n.a.	n.a.
At1g05136.1	ABI3	ABI3/VP1	1479296	-	374	n.a.	n.a.	n.a.
At1g05385.1	ABI3	ABI3/VP1	1581433	-	2284	n.a.	n.a.	n.a.
At1g05390.1	ABI3	ABI3/VP1	1581433	-	2411	n.a.	n.a.	n.a.
At1g05510.1	ABI3	ABI3/VP1	1629397	+	-48	n.a.	n.a.	n.a.
At1g05520.1	ABI3	ABI3/VP1	1633562	-	2148	n.a.	n.a.	n.a.
At1g05960.1	ABI3	ABI3/VP1	1812479	+	2994	n.a.	n.a.	n.a.
At1g06080.1	ABI3	ABI3/VP1	1843454	+	-113	n.a.	n.a.	n.a.
At1g06320.1	ABI3	ABI3/VP1	1930797	-	275	n.a.	n.a.	n.a.
At1g06330.1	ABI3	ABI3/VP1	1930797	+	1468	n.a.	n.a.	n.a.
At1g06990.1	ABI3	ABI3/VP1	2147734	+	-652	n.a.	n.a.	n.a.
At1g06990.1	ABI3	ABI3/VP1	2149434	+	1048	n.a.	n.a.	n.a.
At1g07000.1	ABI3	ABI3/VP1	2149434	-	2890	n.a.	n.a.	n.a.
At1g07190.1	ABI3	ABI3/VP1	2209705	+	1693	n.a.	n.a.	n.a.
At1g07200.1	ABI3	ABI3/VP1	2209705	-	1138	n.a.	n.a.	n.a.
At1g07340.1	ABI3	ABI3/VP1	2256401	-	1580	n.a.	n.a.	n.a.
At1g07350.1	ABI3	ABI3/VP1	2256401	+	3698	n.a.	n.a.	n.a.
At1g07710.1	ABI3	ABI3/VP1	2388921	-	-938	n.a.	n.a.	n.a.
At1g07720.1	ABI3	ABI3/VP1	2388921	-	3529	n.a.	n.a.	n.a.
At1g08100.1	ABI3	ABI3/VP1	2531096	-	-1979	n.a.	n.a.	n.a.
At1g08105.1	ABI3	ABI3/VP1	2531096	-	3687	n.a.	n.a.	n.a.
At1g08190.1	ABI3	ABI3/VP1	2571435	+	3936	n.a.	n.a.	n.a.
At1g08570.1	ABI3	ABI3/VP1	2716780	-	3885	n.a.	n.a.	n.a.
At1g08570.1	ABI3	ABI3/VP1	2716784	+	3889	n.a.	n.a.	n.a.
At1g08580.1	ABI3	ABI3/VP1	2716784	-	-377	n.a.	n.a.	n.a.
At1g08580.1	ABI3	ABI3/VP1	2716780	+	-373	n.a.	n.a.	n.a.
At1g08590.1	ABI3	ABI3/VP1	2716784	+	-1997	n.a.	n.a.	n.a.
At1g08680.1	ABI3	ABI3/VP1	2765006	+	2413	n.a.	n.a.	n.a.
At1g08735.1	ABI3	ABI3/VP1	2788642	+	-1651	n.a.	n.a.	n.a.
At1g09155.1	ABI3	ABI3/VP1	2952551	-	-1560	n.a.	n.a.	n.a.
At1g09157.1	ABI3	ABI3/VP1	2952551	-	-153	n.a.	n.a.	n.a.
At1g09160.1	ABI3	ABI3/VP1	2952551	-	3118	n.a.	n.a.	n.a.
At1g09170.1	ABI3	ABI3/VP1	2959674	-	2535	n.a.	n.a.	n.a.
At1g09530.1	ABI3	ABI3/VP1	3075165	-	-1419	n.a.	n.a.	n.a.
At1g09530.1	ABI3	ABI3/VP1	3075090	+	-1494	n.a.	n.a.	n.a.
At1g09710.1	ABI3	ABI3/VP1	3143491	+	2617	n.a.	n.a.	n.a.
At1g09720.1	ABI3	ABI3/VP1	3143491	-	3814	n.a.	n.a.	n.a.
At1g10410.1	ABI3	ABI3/VP1	3420727	-	-1087	n.a.	n.a.	n.a.
At1g10500.1	ABI3	ABI3/VP1	3458539	-	2947	n.a.	n.a.	n.a.
At1g10510.1	ABI3	ABI3/VP1	3464045	-	2409	n.a.	n.a.	n.a.
At1g10520.1	ABI3	ABI3/VP1	3464045	-	-1920	n.a.	n.a.	n.a.
At1g10750.1	ABI3	ABI3/VP1	3579824	+	-1349	n.a.	n.a.	n.a.
At1g10940.1	ABI3	ABI3/VP1	3659490	+	-912	n.a.	n.a.	n.a.
At1g10950.1	ABI3	ABI3/VP1	3659490	-	281	n.a.	n.a.	n.a.
At1g11120.1	ABI3	ABI3/VP1	3718388	+	3159	n.a.	n.a.	n.a.
At1g12640.1	ABI3	ABI3/VP1	4304682	-	1114	n.a.	n.a.	n.a.
At1g12650.1	ABI3	ABI3/VP1	4304682	+	-1375	n.a.	n.a.	n.a.
At1g12730.1	ABI3	ABI3/VP1	4338185	+	3572	n.a.	n.a.	n.a.
At1g13620.1	ABI3	ABI3/VP1	4668751	+	311	n.a.	n.a.	n.a.
At1g13630.1	ABI3	ABI3/VP1	4673955	-	-1132	n.a.	n.a.	n.a.
At1g13635.1	ABI3	ABI3/VP1	4673955	+	-289	n.a.	n.a.	n.a.
At1g14360.1	ABI3	ABI3/VP1	4914508	+	-1361	n.a.	n.a.	n.a.
At1g14370.1	ABI3	ABI3/VP1	4914508	-	-1063	n.a.	n.a.	n.a.
At1g15510.1	ABI3	ABI3/VP1	5331121	-	2015	n.a.	n.a.	n.a.
At1g16705.1	ABI3	ABI3/VP1	5715619	+	3538	n.a.	n.a.	n.a.
At1g16710.1	ABI3	ABI3/VP1	5715619	+	1337	n.a.	n.a.	n.a.
At1g16890.1	ABI3	ABI3/VP1	5777775	-	481	n.a.	n.a.	n.a.
At1g17770.1	ABI3	ABI3/VP1	6122126	-	1392	n.a.	n.a.	n.a.
At1g17780.1	ABI3	ABI3/VP1	6122126	-	-1582	n.a.	n.a.	n.a.
At1g18400.1	ABI3	ABI3/VP1	6333374	-	1983	n.a.	n.a.	n.a.
At1g18960.1	ABI3	ABI3/VP1	6555196	-	2453	n.a.	n.a.	n.a.
At1g18970.1	ABI3	ABI3/VP1	6555196	+	172	n.a.	n.a.	n.a.
At1g18980.1	ABI3	ABI3/VP1	6555196	+	2840	n.a.	n.a.	n.a.
At1g19450.1	ABI3	ABI3/VP1	6735442	-	-569	n.a.	n.a.	n.a.
At1g20850.1	ABI3	ABI3/VP1	7254917	+	2754	n.a.	n.a.	n.a.
At1g20860.1	ABI3	ABI3/VP1	7254917	-	3749	n.a.	n.a.	n.a.
At1g20910.1	ABI3	ABI3/VP1	7277232	+	3895	n.a.	n.a.	n.a.
At1g21040.1	ABI3	ABI3/VP1	7364965	+	-1642	n.a.	n.a.	n.a.
At1g21050.1	ABI3	ABI3/VP1	7364965	-	-1799	n.a.	n.a.	n.a.
At1g21230.1	ABI3	ABI3/VP1	7433820	-	3851	n.a.	n.a.	n.a.
At1g21240.1	ABI3	ABI3/VP1	7433820	-	-472	n.a.	n.a.	n.a.
At1g21540.1	ABI3	ABI3/VP1	7551093	-	-539	n.a.	n.a.	n.a.
At1g21550.1	ABI3	ABI3/VP1	7551093	-	2772	n.a.	n.a.	n.a.
At1g21730.1	ABI3	ABI3/VP1	7631556	-	1460	n.a.	n.a.	n.a.
At1g21840.1	ABI3	ABI3/VP1	7669927	+	3478	n.a.	n.a.	n.a.
At1g21850.1	ABI3	ABI3/VP1	7669927	-	592	n.a.	n.a.	n.a.
At1g22240.1	ABI3	ABI3/VP1	7856942	+	3869	n.a.	n.a.	n.a.
At1g22250.1	ABI3	ABI3/VP1	7857155	+	-1698	n.a.	n.a.	n.a.
At1g22250.1	ABI3	ABI3/VP1	7856942	+	-1911	n.a.	n.a.	n.a.
At1g22500.1	ABI3	ABI3/VP1	7952100	-	2635	n.a.	n.a.	n.a.
At1g22510.1	ABI3	ABI3/VP1	7952100	+	562	n.a.	n.a.	n.a.
At1g22520.1	ABI3	ABI3/VP1	7952100	+	2307	n.a.	n.a.	n.a.
At1g23200.1	ABI3	ABI3/VP1	8225897	+	-1270	n.a.	n.a.	n.a.
At1g23340.1	ABI3	ABI3/VP1	8283916	-	2905	n.a.	n.a.	n.a.
At1g23450.1	ABI3	ABI3/VP1	8326363	+	1676	n.a.	n.a.	n.a.
At1g23460.1	ABI3	ABI3/VP1	8326363	+	-938	n.a.	n.a.	n.a.
At1g23530.1	ABI3	ABI3/VP1	8348319	+	2735	n.a.	n.a.	n.a.
At1g23540.1	ABI3	ABI3/VP1	8348319	-	1456	n.a.	n.a.	n.a.
